"rpt_rec_num","Provider CCN","Hospital Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural Versus Urban","CCN Facility Type","Provider Type","Type of Control","Fiscal Year Begin Date","Fiscal Year End Date","FTE - Employees on Payroll","Number of Interns and Residents (FTE)","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days (V + XVIII + XIX + Unknown)","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges (V + XVIII + XIX + Unknown)","Number of Beds + Total for all Subproviders","Hospital Total Days Title V For Adults & Peds","Hospital Total Days Title XVIII For Adults & Peds","Hospital Total Days Title XIX For Adults & Peds","Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds","Hospital Number of Beds For Adults & Peds","Hospital Total Bed Days Available For Adults & Peds","Hospital Total Discharges Title V For Adults & Peds","Hospital Total Discharges Title XVIII For Adults & Peds","Hospital Total Discharges Title XIX For Adults & Peds","Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds","Cost of Charity Care","Total Bad Debt Expense","Cost of Uncompensated Care","Total Unreimbursed and Uncompensated Care","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Depreciation Cost","Total Costs","Inpatient Total Charges","Outpatient Total Charges","Combined Outpatient + Inpatient Total Charges","Wage-Related Costs (Core)","Wage-Related Costs (RHC/FQHC)","Total Salaries (adjusted)","Contract Labor: Direct Patient Care","Wage Related Costs for Part - A Teaching Physicians","Wage Related Costs for Interns and Residents","Cash on Hand and in Banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for Uncollectible Notes and Accounts Receivable","Inventory","Prepaid Expenses","Other Current Assets","Total Current Assets","Land","Land Improvements","Buildings","Leasehold Improvements","Fixed Equipment","Major Movable Equipment","Minor Equipment Depreciable","Health Information Technology Designated Assets","Total Fixed Assets","Investments","Other Assets","Total Other Assets","Total Assets","Accounts Payable","Salaries, Wages, and Fees Payable","Payroll Taxes Payable","Notes and Loans Payable (Short Term)","Deferred Income","Other Current Liabilities","Total Current Liabilities","Mortgage Payable","Notes Payable","Unsecured Loans","Other Long Term Liabilities","Total Long Term Liabilities","Total Liabilities","General Fund Balance","Total Fund Balances","Total Liabilities and Fund Balances","DRG Amounts Other Than Outlier Payments","DRG Amounts Before October 1","DRG Amounts After October 1","Outlier Payments For Discharges","Disproportionate Share Adjustment","Allowable DSH Percentage","Managed Care Simulated Payments","Total IME Payment","Inpatient Revenue","Outpatient Revenue","Total Patient Revenue","Less Contractual Allowance and Discounts on Patients' Accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from Service to Patients","Total Other Income","Total Income","Total Other Expenses","Net Income","Cost To Charge Ratio","Net Revenue from Medicaid","Medicaid Charges","Net Revenue from Stand-Alone CHIP","Stand-Alone CHIP Charges"
630243,454113,SUNDANCE HOSPITAL,7000 US HWY 287,ARLINGTON,TX,76001,TARRANT,23104,U,PH,4,4,01/01/2017,12/31/2017,248.04,,,3491,1746,56119,232,84680,,368,177,6828,232,,3491,1746,56119,232,84680,,368,177,6828,,,,,17038978,12790091,232861,27353884,84581100,4144800,88725900,,,,,,,552382,,,8484895,-4322068,,575377,,11095575,91000,,1366661,601016,,1330903,,,1962727,,,10493,13068795,1722661,1266190,11861,116210,,,10638445,,599771,,,599771,11238216,1830579,1830579,13068795,,,,,,,,,84581100,4144800,88725900,59583283,29142617,29829069,-686452,113625,-572827,,-572827,,,,,
630315,330387,ROCKEFELLER UNIVERSITY HOSPITAL,1230 YORK AVENUE,NEW YORK,NY,10021,,,NA,STH,9,3,01/01/2017,12/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630410,371311,JEFFERSON COUNTY HOSPITAL,INTERSECTION HWY 70 & 81,WAURIKA,OK,73573-,JEFFERSON,99937,R,CAH,1,9,10/01/2016,01/31/2017,40.77,,,173,7,337,25,3075,,12,3,22,25,,45,7,76,25,3075,,12,3,22,,61350,46639,110049,850277,574390,9198,1190948,355388,611400,966788,,,,,,,26123,47516,,1787704,-1146897,63938,64407,,931147,,27978,953394,4325,230976,815838,30503,,90027,,,,1021174,1250653,197020,14813,619525,,389,1995343,,153869,,,153869,2149212,-1128038,-1128038,1021174,,,,,,,,,353161,695701,1048862,408074,640788,1424667,-783879,-137930,-921809,,-921809,1.231861,56598,141495,,
631047,104073,EMERALD COAST BEHAVIORAL HOSPITAL,1900 HARRISON AVENUE,PANAMA CITY,FL,32405,BAY,37460,U,PH,4,4,11/01/2016,10/31/2017,163.1,,,2766,,25291,86,31390,,287,,2628,86,,2766,,25291,86,31390,,287,,2628,,,,,7945206,10378917,406579,11508274,55622600,4762514,60385114,,,,,,,-241782,,,5956590,-3601905,51584,54043,,2357882,2470000,,,5343051,,1871976,,,7309014,117520,1162831,1280351,10947247,202059,474855,339873,,,124069,1140856,,,,-5863897,-5863897,-4723041,15670288,15670288,10947247,,,,,,,,,60976329,12347781,73324110,50624301,22699809,19284489,3415320,100724,3516044,,3516044,,,,,
631130,184006,NORTHKEY COMMUNITY CARE-INTENSIVE SE,502 FARRELL DRIVE,COVINGTON,KY,41011,,,NA,PH,9,6,07/01/2017,02/19/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631151,364038,BHC BELMONT PINES HOSPITAL INC,615 CHURCHILL-HUBBARD RD,YOUNGSTOWN,OH,44505-1332,,,NA,PH,4,6,05/01/2017,04/30/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631181,243303,SHRINERS HOSPITALS FOR CHILDREN,2025 EAST RIVER PARKWAY,MINNEAPOLIS,MN,55414-3604,,,NA,CH,7,6,01/01/2017,12/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631398,143302,SHRINERS HOSPITAL FOR CHILDREN,2211 NORTH OAK PARK DRIVE,CHICAGO,IL,60707-3351,,,NA,CH,7,6,01/01/2017,12/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631405,223303,THE SHRINERS HOSPITAL FOR CHILDREN,516 CAREW STREET,SPRINGFIELD,MA,01104,,,NA,CH,7,3,01/01/2017,12/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631406,223304,THE SHRINERS HOSPITAL FOR CHILDREN,51 BLOSSOM STREET,BOSTON,MA,02114,,,NA,CH,7,3,01/01/2017,12/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631670,330409,BURDETT CARE CENTER,2215 BURDETT AVE STE 200,TROY,NY,12180-2466,,,NA,STH,1,6,01/01/2017,12/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631703,104072,CENTRAL FLORIDA BEHAVIORAL HEALTH,6601 CENTRAL FLORIDA PARKWAY,ORLANDO,FL,32821,ORANGE,36740,U,PH,4,4,01/01/2017,12/31/2017,238.7,,,5533,,40636,126,45990,,624,,7255,126,,5533,,40636,126,45990,,624,,7255,,,,,12021049,13998652,1861077,21246471,90786620,7259201,98045821,,,,,,,-148128,,,13419159,-9085144,95611,55179,,4534332,4400000,,,29480106,,3286643,,,37117710,,11135,11135,41663177,516486,290751,391771,,,569465,1768473,,,,14140191,14140191,15908664,25754513,25754513,41663177,,,,,,,,,94227365,7259201,101486566,69947120,31539446,28073454,3465992,75973,3541965,,3541965,,,,,
631929,102026,FLORIDA HOSPITAL AT CONNERTON,9441 HEALTH CENTER DRIVE,LAND O LAKES,FL,34637,PASCO,45300,U,LTCH,2,4,01/01/2017,12/31/2017,181.27,,,8567,,17815,50,18250,,331,,689,50,,7512,,16465,46,16790,,331,,689,,,,,11169013,16406596,1373195,29787114,98828188,26607,98854795,,,11169013,,,,3678430,,,5284882,-601406,151388,247751,,11264659,7602091,,14876974,,,7611964,,,22427021,19299,2002951,2022250,35713930,786515,1119257,,81382,,1408172,3715878,,20774090,,11223962,31998052,35713930,,,35713930,,,,,,,,,98854795,,98854795,69153423,29701372,27575609,2125763,286259,2412022,2532681,-120659,,,,,
631959,333301,BLYTHEDALE CHILDRENS HOSPITAL,96 BRADHURST AVENUE,VALHALLA,NY,10595-1637,,,NA,CH,7,3,01/01/2017,12/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632577,171366,HARPER DISTRICT HOSPITAL,700 W. 13 STREET,HARPER,KS,67058-,HARPER,99917,R,CAH,1,11,01/01/2017,10/31/2017,72,,,512,,2986,25,7600,,68,,93,25,,193,,245,25,7600,,68,,93,25211,307635,296536,324022,3705778,3851383,325351,6333481,1140121,5668480,6808601,,,,,,,986937,,,2040977,-953000,516785,20878,934698,3726933,44440,30721,6534987,,1528518,4801899,,,3813141,165340,,165340,7705414,87413,455267,20500,,128478,286548,978206,,1827391,,3376712,5204103,6182309,1523105,1523105,7705414,,,,,,,,,1310032,6054660,7364692,1479858,5884834,7557161,-1672327,1957990,285663,,285663,0.930218,298377,530572,,
633054,404004,FIRST HOSPITAL PANAMERICANO,STATE ROAD $454,CIDRA,PR,00739,,41980,U,PH,4,4,01/01/2017,12/31/2017,405.63,,,3124,,69401,216,78840,,368,,7872,262,,3124,,69401,216,78840,,368,,7872,,,,,13013447,23244698,1213836,28836106,70217300,7472977,77690277,,,,,,,422466,,,14395314,-4055501,129431,728220,-2999961,8805057,1875000,74694,9480329,5652359,170137,1762566,,711307,13480139,,35311934,35311934,57597130,3688248,869081,108789,,,1447600,6113718,,38805094,,-8841887,29963207,36076925,21520205,21520205,57597130,,,,,,,,,70217300,8449712,78667012,40271975,38395037,36258145,2136892,177465,2314357,1272140,1042217,,,,,
633169,394038,FOUNDATIONS BEHAVORIAL HEALTH,833 BUTLER AVE,DOYLESTOWN,PA,18901,,,NA,PH,4,4,07/01/2017,06/30/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633181,014013,LAUREL OAKS BEHAVIORAL HEALTH CENTER,700 EAST COTTONWOOD,KING OF PRUSSIA,AL,36301-3644,,,NA,PH,4,3,07/01/2017,06/30/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633187,104057,SPRINGBROOK HOSPITAL,7007 GROVE ROAD,BROOKSVILLE,FL,34609,HERNANDO,45300,U,PH,4,4,10/01/2016,09/30/2017,158.82,,,11801,,23172,66,24090,,788,,2650,66,,11801,,23172,66,24090,,788,,2650,,,,,6212697,10782850,16589,10814180,34959055,1775400,36734455,,,6212697,,,,-100840,,,2690981,,,84901,633,2675675,,,,,,668800,,,320157,,617965,617965,3613797,1733883,434947,,,,318142,2486972,,,,3005801,3005801,5492773,-1878976,-1878976,3613797,,,,,,,,,40149410,1703955,41853365,27323062,14530303,16995547,-2465244,9722,-2455522,,-2455522,,,,,
