"rpt_rec_num","Provider CCN","Hospital Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural Versus Urban","CCN Facility Type","Provider Type","Type of Control","Fiscal Year Begin Date","Fiscal Year End Date","FTE - Employees on Payroll","Number of Interns and Residents (FTE)","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days (V + XVIII + XIX + Unknown)","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges (V + XVIII + XIX + Unknown)","Number of Beds + Total for all Subproviders","Hospital Total Days Title V For Adults & Peds","Hospital Total Days Title XVIII For Adults & Peds","Hospital Total Days Title XIX For Adults & Peds","Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds","Hospital Number of Beds For Adults & Peds","Hospital Total Bed Days Available For Adults & Peds","Hospital Total Discharges Title V For Adults & Peds","Hospital Total Discharges Title XVIII For Adults & Peds","Hospital Total Discharges Title XIX For Adults & Peds","Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds","Cost of Charity Care","Total Bad Debt Expense","Cost of Uncompensated Care","Total Unreimbursed and Uncompensated Care","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Depreciation Cost","Total Costs","Inpatient Total Charges","Outpatient Total Charges","Combined Outpatient + Inpatient Total Charges","Wage-Related Costs (Core)","Wage-Related Costs (RHC/FQHC)","Total Salaries (adjusted)","Contract Labor: Direct Patient Care","Wage Related Costs for Part - A Teaching Physicians","Wage Related Costs for Interns and Residents","Cash on Hand and in Banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for Uncollectible Notes and Accounts Receivable","Inventory","Prepaid Expenses","Other Current Assets","Total Current Assets","Land","Land Improvements","Buildings","Leasehold Improvements","Fixed Equipment","Major Movable Equipment","Minor Equipment Depreciable","Health Information Technology Designated Assets","Total Fixed Assets","Investments","Other Assets","Total Other Assets","Total Assets","Accounts Payable","Salaries, Wages, and Fees Payable","Payroll Taxes Payable","Notes and Loans Payable (Short Term)","Deferred Income","Other Current Liabilities","Total Current Liabilities","Mortgage Payable","Notes Payable","Unsecured Loans","Other Long Term Liabilities","Total Long Term Liabilities","Total Liabilities","General Fund Balance","Total Fund Balances","Total Liabilities and Fund Balances","DRG Amounts Other Than Outlier Payments","DRG Amounts Before October 1","DRG Amounts After October 1","Outlier Payments For Discharges","Disproportionate Share Adjustment","Allowable DSH Percentage","Managed Care Simulated Payments","Total IME Payment","Inpatient Revenue","Outpatient Revenue","Total Patient Revenue","Less Contractual Allowance and Discounts on Patients' Accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from Service to Patients","Total Other Income","Total Income","Total Other Expenses","Net Income","Cost To Charge Ratio","Net Revenue from Medicaid","Medicaid Charges","Net Revenue from Stand-Alone CHIP","Stand-Alone CHIP Charges"
1521,453059,HEALTHSOUTH REHAB OF THE WOODLANDS,18550 IH 45 SOUTH,CONROE,TX,77384,MONTGOMERY,26420,U,RH,5,4,01/01/2011,12/31/2011,137.91,,,10009,,14737,84,32064,,729,,1044,84,,10009,,14737,84,32064,,729,,1044,,,-75813,-75813,8348344,9022007,798982,16528997,25894034,3593150,29487184,,,,,,,6905,43442380,,2841802,-486165,93597,32624,,45931143,741766,72401,11543046,,,2465226,,,6843786,,1298784,1298784,54073713,341312,449629,,,,142784,933725,,,,,,933725,53139988,53139988,54073713,,,,,,,,,25894262,3592922,29487184,9869793,19617391,17370351,2247040,274744,2521784,,2521784,0.560549,,,,
1522,493028,REHABILITATION HOSPITAL OF VIRGINIA,5700 FITZHUGH AVENUE,RICHMOND,VA,23226-,HENRICO,40060,U,RH,5,4,01/01/2011,12/31/2011,122.1,,,9118,1146,13657,40,14600,,656,59,936,40,,9118,1146,13657,40,14600,,656,59,936,,,-32702,-32702,6961789,5989369,491430,13470454,25130002,1932220,27062222,,,,,,,2534390,,,2682861,-530448,78778,52071,,4817652,984000,,6472127,,,1626913,,,4712870,,5932936,5932936,15463458,389654,621706,,,,765,1012125,,,,,,1012125,14451333,14451333,15463458,,,,,,,,,25130002,1932219,27062221,10178592,16883629,12951158,3932471,39882,3972353,,3972353,0.497759,,,,
1523,513026,SOUTHERN HILLS REHABILITATION,120 12TH STREET,PRINCETON,WV,24740,MERCER,99951,R,RH,5,4,01/01/2011,12/31/2011,102.01,,,7844,24,9915,60,21900,,609,3,807,60,,7844,24,9915,60,21900,,609,3,807,,,-21898,-21898,4541540,4991232,603087,10044233,18020428,872106,18892534,,,,,,,39573667,,,1645322,-395790,56996,75737,,40955932,,,9443219,,,1572038,,,4934882,,10453432,10453432,56344246,213772,251573,,,,145092,610437,,,,60,60,610497,55733749,55733749,56344246,,,,,,,,,18020426,872106,18892532,5523520,13369012,9532772,3836240,19002,3855242,2218,3853024,0.531651,,,,
1524,513027,HEALTHSOUTH WESTERN HILLS REHAB HOSP,3 WESTERN HILLS DRIVE,PARKERSBURG,WV,26105,WOOD,37620,U,RH,5,4,01/01/2011,12/31/2011,148.41,,,13818,14,15602,50,18250,,1108,1,1274,50,,13818,14,15602,50,18250,,1108,1,1274,,,-36916,-36916,6954470,7394311,562471,14946390,25172535,3355802,28528337,,,,,,,24038647,,,2285769,-588054,76824,137820,,25951006,,157153,5434441,419239,,1714550,,,3652082,,11966052,11966052,41569140,338300,402177,,,,84692,825169,,,,,,825169,40743971,40743971,41569140,,,,,,,,,25172886,3355451,28528337,9895058,18633279,14348781,4284498,14826,4299324,,4299324,0.523914,,,,
1525,513030,HEALTHSOUTH MOUNTAIN VIEW REGIONAL,1160 VAN VOORHIS ROAD,MORGANTOWN,WV,26505,MONONGALIA,34060,U,RH,5,5,01/01/2011,12/31/2011,229.61,,,16036,418,24108,80,29200,,1190,24,1602,80,,16036,418,24108,80,29200,,1190,24,1602,,,-67606,-67606,10901525,13546585,481057,20897887,43609607,2379473,45989080,,,,,,,4748868,,,4052893,-1028553,95419,72697,,7941324,,,,3174303,,3728741,,,2694498,,,,10635822,357876,754924,,,,3546906,4659706,,,,726517,726517,5386223,5249599,5249599,10635822,,,,,,,,,43609655,2379426,45989081,18328891,27660190,24448107,3212083,113338,3325421,,3325421,0.45441,,,,
1659,010062,WIREGRASS MEDICAL CENTER,1200 WEST MAPLE STREET,GENEVA,AL,36340,GENEVA,20020,U,STH,1,9,10/01/2010,09/30/2011,221.8,,,4130,627,6319,73,26645,,837,190,1493,185,,3537,483,5449,67,24455,,837,190,1493,266024,,227902,1005373,9754176,11456501,702532,19157766,19783925,15403744,35187669,1237322,,9739230,365896,,,779655,,,9437793,-6179573,616062,103576,530563,5288076,2277,1199111,10534733,,4131552,9700133,,,7378993,4498150,208548,4706698,17373767,913480,881936,,165000,312000,248053,2520469,8442969,,,,8442969,10963438,6410329,6410329,17373767,3767835,,,20225,374900,0.0995,,,20271618,20438521,40710139,19665041,21045098,21210677,-165579,517864,352285,,352285,0.558466,1208556,3877688,,
1664,033028,HEALTHSOUTH REHAB INSTITUTE OF TUSCO,2650 NORTH WYATT DRIVE,TUCSON,AZ,85712,PIMA,46060,U,RH,5,5,01/01/2011,12/31/2011,190.33,,,14293,878,20101,80,29200,,1077,60,1496,80,,14293,878,20101,80,29200,,1077,60,1496,,,-12474,-12474,10196245,10194926,827913,19297196,39770344,3720580,43490924,,,,,,,2157460,,,4312384,-1264960,50616,178001,,5433501,,,13428475,,,2800991,,,8276867,,8717780,8717780,22428148,334879,641075,,,,1181507,2157461,,,,3588829,3588829,5746290,16681858,16681858,22428148,,,,,,,,,39770345,3720579,43490924,19015278,24475646,20391171,4084475,118666,4203141,,4203141,0.443706,,,,
1669,103032,HEALTHSOUTH OF TREASURE COAST,1600 37TH STREET,VERO BEACH,FL,32960,INDIAN RIVER,46940,U,RH,5,4,01/01/2011,12/31/2011,175.62,,,15682,383,18098,90,32850,,1111,25,1288,90,,15682,383,18098,90,32850,,1111,25,1288,,,-4411,-4411,8791223,8878838,255685,18067232,30587269,2616018,33203287,,,,,,,33477400,,,2859263,-596180,67454,27635,,35835572,,,199660,78430,,1918800,,,541873,,2427123,2427123,38804568,176740,735346,,,,536807,1448893,,,,-1,-1,1448892,37355676,37355676,38804568,,,,,,,,,30587329,2615957,33203286,10834201,22369085,17670061,4699024,76488,4775512,,4775512,0.54414,,,,
1675,203025,NEW ENGLAND REHABILITATION HOSPITAL,335 BRIGHTON AVENUE  SUITE 201,PORTLAND,ME,04102,CUMBERLAND,38860,U,RH,5,5,01/01/2011,12/31/2011,217.11,,,17892,1655,26250,90,32850,,1306,99,1923,90,,17892,1655,26250,90,32850,,1306,99,1923,,,-7948,-7948,12221947,12687651,1214003,25053333,44639584,2423451,47063035,,,,,,,4623210,,,6362647,-1040799,91992,83294,,10120344,,,14979176,332892,,2287222,,,10228169,,24,24,20348537,641315,877318,,,,2383136,3901769,,,,13292739,13292739,17194508,3154029,3154029,20348537,,,,,,,,,44639585,2423451,47063036,15083628,31979408,24909598,7069810,303204,7373014,,7373014,0.532336,,,,
1678,313035,HEALTHSOUTH TINTON FALLS REHAB HOSPI,2 CENTRE PLAZA,TINTON FALLS,NJ,07724-,MONMOUTH,20764,U,RH,5,5,01/01/2011,12/31/2011,154.44,,,12501,242,17247,60,21900,,1000,20,1383,60,,12501,242,17247,60,21900,,1000,20,1383,,,-4637,-4637,9889459,7823473,684779,17806176,30774501,2164013,32938514,,,,,,,2933865,,,3412534,-608542,62734,57138,,5857729,,,9804173,58615,,2848559,,,6997037,,20,20,12854786,235767,623777,,,,2074325,2933869,,,,2881478,2881478,5815347,7039439,7039439,12854786,,,,,,,,,30774501,2164013,32938514,7877903,25060611,17712932,7347679,68457,7416136,,7416136,0.540588,,,,
1680,423026,HEALTHSOUTH OF FLORENCE,900 EAST CHEVES STREET,FLORENCE,SC,29506,FLORENCE,22500,U,RH,5,4,01/01/2011,12/31/2011,116.58,,,12975,,15905,88,32120,,905,,1120,88,,12975,,15905,88,32120,,905,,1120,,,-28436,-28436,7099473,7917314,694698,14876540,31526097,666901,32192998,,,,,,,41543784,,,2481780,-604282,72948,148670,,43642900,,,12743537,,,1973898,,,5681684,,10967,10967,49335551,218582,477413,,,,178906,874901,,,,42286,42286,917187,48418364,48418364,49335551,,,,,,,,,31526098,666901,32192999,14265062,17927937,15016787,2911150,56170,2967320,,2967320,0.462105,,,,
1704,463025,HEALTHSOUTH REHAB HOSP OF UTAH,8074 SOUTH 1300 EAST,SANDY,UT,84094,SALT LAKE,41620,U,RH,5,4,01/01/2011,12/31/2011,108.12,,,4441,,8608,63,22995,,308,,601,84,,4441,,8608,63,22995,,308,,601,,,-453,-453,6891217,4965089,583982,12651753,18291831,2224471,20516302,,,,,,,24401792,,,1736330,-432948,62885,76692,,25844751,1454468,,8229822,,1936627,,,,5290208,,2130735,2130735,33265694,114180,488052,,,,42327,644559,,,,,,644559,32621135,32621135,33265694,,,,,,,,,18291832,2224471,20516303,9375299,11141004,11856306,-715302,296255,-419047,,-419047,0.616668,,,,
1710,513028,HEALTHSOUTH REHAB HOSPITAL OF HUNTIN,6900 WEST COUNTRY CLUB DRIVE,HUNTINGTON,WV,25705-,CABELL,26580,U,RH,5,4,01/01/2011,12/31/2011,135.02,,,12627,,16406,52,18980,,868,,1120,52,,12627,,16406,52,18980,,868,,1120,,,-33143,-33143,6505435,5994630,581422,13174865,31952410,,31952410,,,,,,,47597818,,,2787588,-772519,32875,52018,,49697780,601100,256500,9238843,,,1414845,,,4862578,,877203,877203,55437561,248289,495431,107350,,,,851070,,,,,,851070,54586491,54586491,55437561,,,,,,,,,31952409,,31952409,13499210,18453199,12500065,5953134,34869,5988003,,5988003,0.412328,,,,
1714,440016,BAPTIST MEM HOSPITAL HUNTINGDON,631 E.B. WILSON DRIVE,HUNTINGDON,TN,38344,CARROL,99944,R,STH,1,1,10/01/2010,09/30/2011,156.97,,,2650,,3592,70,25550,,462,69,733,70,,1289,,2070,64,23360,,462,69,733,188813,,113074,668318,6711518,9453562,1033518,14444020,10683658,27516115,38199773,1828949,,6711518,,,,827994,,,2287345,-991577,560008,54019,,2759265,243350,469023,13854419,,,7753107,,,8585245,36347,,36347,11380857,310301,547726,21381,,,378478,9539850,,,,553866,553866,10093716,1287141,1287141,11380857,1969065,,,,107708,0.0547,91636,,10683658,28558126,39241784,24221115,15020669,16165080,-1144411,317845,-826566,2159194,-2985760,0.391949,1713843,6329375,,
1721,440033,ST MARY S MEDICAL OF CAMPBELL COUNTY,923 E. CENTRAL AVENUE,LAFOLLETTE,TN,37766,CAMPBELL,99944,R,STH,1,1,01/01/2011,09/30/2011,243.51,,,3041,679,6044,56,15288,,686,165,1471,164,,2548,589,5197,50,13650,,686,165,1471,1258969,,1138180,1138180,11022326,21906058,944203,31926422,36487730,112841914,149329644,2227870,95216,11022326,63843,,,41728049,,,20852077,-14713350,610670,130212,,48607658,2646397,420192,7595321,6017273,,15728313,,,9751211,,7222518,7222518,65581387,1080406,,173409,,,193494,2745716,,,,-10,-10,2745706,62835681,62835681,65581387,3446155,,,,367360,0.1066,1521629,,38855016,110474628,149329644,101548622,47781022,37250067,10530955,96830,10627785,,10627785,0.219669,4849501,22067810,,
1740,440120,MERCY HEALTH SYSTEM INC,900 OAK HILL AVENUE,KNOXVILLE,TN,37917-,KNOX,28940,U,STH,1,1,01/01/2011,09/30/2011,2207.31,,,26692,9638,73914,548,149604,,5862,2185,15835,653,,23865,6843,62235,486,132678,,5862,2185,15835,4726558,,4338581,12365509,83326877,215231428,16537859,270922611,554663392,597601402,1152264794,18218522,,83326877,,,,-131659320,,,132236421,-92562092,12525254,386997,,-78204099,21990325,4339114,315242561,,,138286133,,,227115323,1455446,31749163,33204609,182115833,14313322,252718,,9317574,597047,3446052,27926713,,145284574,,24560026,169844600,197771313,-15655480,-15655480,182115833,44350246,,,450512,3077907,0.0694,23712209,,563160647,591641604,1154802251,842327984,312474267,326497273,-14023006,8116291,-5906715,,-5906715,0.238138,21741487,125004892,,
1742,440131,BAPTIST MEM HOSPITAL TIPTON COUNTY,1995 HIGHWAY 51 SOUTH,COVINGTON,TN,38019,TIPTON,32820,U,STH,1,2,10/01/2010,09/30/2011,211.26,,,2085,,5391,100,36500,,483,573,1523,100,,1943,,4416,92,33580,,483,573,1523,697513,,613861,613861,9942681,13773633,1085913,21086967,19396777,55049717,74446494,2810346,,9942681,,,,1409431,12078329,,8024560,-4676093,1222367,102252,,18655198,168459,317669,14710386,,,13980766,,,6921160,31039,,31039,25607397,163915,726425,27491,,,1299291,3008964,,,,,,3008964,22598433,22598433,25607397,2471903,,,,751211,0.3039,,,19396778,55071803,74468581,46932636,27535945,23716314,3819631,2258033,6077664,4999318,1078346,0.28325,5439429,20323464,,
1767,110121,GRADY GENERAL HOSPITAL,1155 5TH ST SE,CAIRO,GA,39828-3142,GRADY,99911,R,STH,1,2,10/01/2010,09/30/2011,142.67,,,3138,289,5883,46,16790,,408,242,1157,46,,1594,118,3152,42,15330,,408,242,1157,737698,,712572,740608,7810314,10411549,921410,15223755,20809312,25332821,46142133,2010422,,7810314,131698,,,,,,4537449,-2155000,100833,,861748,3457401,,,7976346,,,,,,7976346,,11623444,11623444,23057191,84876,,37264,,,325986,448126,,,,,,448126,22609065,22609065,23057191,1896353,,,51143,227562,0.12,,,21171843,29744865,50916708,30923185,19993523,18221863,1771660,893150,2664810,,2664810,0.338127,2339809,7934369,87501,341697
1772,110150,OCONEE REGIONAL MEDICAL CENTER,821 N. COBB STREET,MILLEDGEVILLE,GA,31061-,BALDWIN,99911,R,STH,1,9,10/01/2010,09/30/2011,493.56,,,6858,1712,18654,105,38325,,1200,214,3431,120,,5712,1157,14097,93,33945,,1200,214,3431,2001096,,1903809,1903809,27771259,46506169,4354207,64111372,82898585,101140377,184038962,6771000,,27763657,1378427,,,160002,,,30625749,-20757308,1723312,1305673,296418,13606705,523150,,,-29728014,,,-40243271,,-170090310,15065447,2665837,17731284,-138752321,2455251,1226394,,1751100,,3684032,9116777,26692558,,,,26692558,35809335,26722694,26722694,62532029,7918386,,,236453,1210721,0.1529,3361062,,87430156,107986321,195416477,117059512,78356965,74277428,4079537,583702,4663239,13816181,-9152942,0.355797,3376851,8162227,9455,22610
1773,110161,NORTHSIDE HOSPITAL,1000 JOHNSON FERRY ROAD  NE,ATLANTA,GA,30342-,FULTON,12060,U,STH,1,2,10/01/2010,09/30/2011,3913.49,,,14085,12772,171431,487,177755,,2388,3037,27938,487,,12746,6228,103264,459,167535,,2388,3037,27938,11541979,,11476634,11497193,250953036,412579584,32814128,535991322,1112450606,1100717499,2213168105,64241404,,244861978,1928747,,,139182607,,,41904011,,7502609,7481779,,327172997,,,135854025,,,692830194,,,358486960,,276709825,276709825,962369782,134520464,64814688,,7900515,,,207235667,,,,322355174,322355174,529590841,432778941,432778941,962369782,21614581,,,4777461,2896354,0.134,11518473,,1136010756,926083324,2062094080,1358865515,703228565,683666787,19561778,82540129,102101907,4322683,97779224,0.245348,49010981,200228064,122231,581990
1795,111314,PIONEER HLTH SERV OF EARLY COUNTY,11740 COLUMBIA STREET,BLAKELY,GA,39823,EARLY,99911,R,CAH,1,4,10/01/2010,09/30/2011,152,,,2000,61,3217,25,9125,,138,23,283,152,,498,61,929,25,9125,,138,23,283,166431,,145357,709231,7298402,9006591,11723,17314993,9219977,15726917,24946894,,,,,,,393685,,,7815167,-4641533,,23113,,4298432,,135669,,32371,,79666,,,235983,,,,4534415,602342,451533,45754,,,398107,1725196,,1559595,,,1559595,3284791,1249624,1249624,4534415,,,,,,,,,9243164,17770550,27013714,9247001,17766713,16304993,1461720,-236927,1224793,,1224793,0.702525,489114,1922397,,
